Title,Type,Genre,Release Year,Duration,No of Seasons,No of Episodes,Awards Won,Award Nominations,ImDb Rating,Global Availability,Netflix Original,Original Language, Viewership 
Munafik 2,Movie,Horror,2018,104,NA,NA,1,3,5.6,Not Available,No,Malay," 5,00,000 "
Final Destination 2,Movie,Horror,2003,90,NA,NA,0,4,6.2,Not Available,No,English," 4,00,000 "
Under the Shadow,Movie,Horror,2016,84,NA,NA,21,23,6.8,Available,No,Persian," 3,00,000 "
Animas // Ánimas,Movie,Horror,2018,88,NA,NA,2,10,4.9,Not Available,No,Spanish," 3,00,000 "
Paranormal Investigation,Movie,Horror,2018,93,NA,NA,0,0,3.7,Available,No,English," 3,00,000 "
Don't Knock Twice,Movie,Horror,2016,93,NA,NA,0,1,5.1,Not Available,No,English," 2,00,000 "
The Autopsy of Jane Doe,Movie,Horror,2016,86,NA,NA,8,10,6.8,Not Available,No,English," 2,00,000 "
Andhaghaaram,Movie,Horror,2020,171,NA,NA,2,2,7.5,Not Available,No,Tamil," 2,00,000 "
Game Over (Tamil Version) (2019),Movie,Horror,2019,98,NA,NA,2,4,6.9,Not Available,No,Tamil," 1,00,000 "
Breaking Bad,TV Series,Thriller,2008,48,5,62,157,247,9.5,Not Available,No,English," 10,10,00,000 "
Designated Survivor,TV Series,Thriller,2006,53,3,53,3,3,7.4,Available,No,English," 6,49,66,667 "
Flower of Evil: Season 1 // ?? ?: ?? 1,TV Series,Thriller,2020,79,1,16,3,5,8.6,Available,No,Korean," 2,98,00,000 "
How to Get Away With Murder,TV Series,Thriller,2014,43,6,90,20,79,8.1,Not Available,No,English," 2,17,66,667 "
Bird Box,Movie,Thriller,2018,124,NA ,NA,5,9,6.6,Available,No,English," 1,93,00,000 "
Gumraah,Movie,Thriller,2023,127,NA,NA,0,0,6.5,Not Available,No,Hindi," 1,47,00,000 "
Fractured,Movie,Thriller,2019,100,NA,NA,0,3,6.5,Available,No,English," 1,25,00,000 "
1408,Movie,Thriller,2007,104,NA,NA,4,12,6.8,Not Available,No,English," 1,10,00,000 "
Now You See Me,Movie,Thriller,2013,124,NA,NA,1,3,7.2,Not Available,No,English," 1,02,00,000 "
Shutter Island,Movie,Thriller,2010,139,NA,NA,11,66,8.2,Not Available,No,English," 1,01,00,000 "
Ratched: Season 1,TV Series,Thriller,2020,62,1,8,2,20,7.3,Available,No,English," 1,00,00,000 "
Beyond Evil // ??,TV Series,Thriller,2021,70,1,16,3,5,8.1,Not Available,No,Korean," 95,00,000 "
Split (2016),Movie,Thriller,2016,117,NA,NA,10,27,7.3,Not Available,No,English," 94,00,000 "
Angels & Demons,Movie,Thriller,2009,139,NA,NA,1,5,6.7,Not Available,No,English," 84,00,000 "
The Da Vinci Code,Movie,Thriller,2006,149,NA,NA,8,21,6.6,Not Available,No,English," 84,00,000 "
Secret Obsession,Movie,Thriller,2019,98,NA,NA,0,0,4.5,Available,No,English," 80,00,000 "
The Departed (2006),Movie,Thriller,2006,151,NA,NA,99,141,8.5,Not Available,No,English," 65,00,000 "
The Woman in the Window,Movie,Thriller,2021,100,NA,NA,0,8,5.7,Available,No,English," 64,00,000 "
Perfect Stranger,Movie,Thriller,2007,109,NA,NA,1,0,5.7,Not Available,No,English," 56,00,000 "
The Girl with the Dragon Tattoo (2011),Movie,Thriller,2011,158,NA,NA,26,91,7.8,Not Available,No,English," 55,00,000 "
The Titan,Movie,Thriller,2018,97,NA,NA,,,4.8,Not Available,No,English," 48,00,000 "
The Call // ?,Movie,Thriller,2020,112,NA,NA,4,11,7.1,Available,No,Korean," 46,00,000 "
Mirage // Durante la tormenta,Movie,Thriller,2018,128,NA,NA,0,2,7.4,Not Available,No,Spanish," 41,00,000 "
Zodiac (2007),Movie,Thriller,2007,158,NA,NA,3,71,7.7,Not Available,No,English," 36,00,000 "
CBI 5: The Brain,Movie,Thriller,2022,164,NA,NA ,0,1,5.6,Not Available,No,Malayalam," 33,00,000 "
Ittefaq (2017),Movie,Thriller,2017,105,NA,NA,0,6,7.2,Not Available,No,Hindi," 27,00,000 "
Premonition (2007),Movie,Thriller,2007,96,NA,NA,0,2,5.9,Not Available,No,English," 24,00,000 "
Anon,Movie,Thriller,2018,100,NA,NA,0,1,6.1,Not Available,No,English," 20,00,000 "
The Girl on the Train // ? ???? ?? ? ?????,Movie,Thriller,2021,120,NA,NA,2,2,4,Available,No,Hindi," 18,00,000 "
Raat Akeli Hai // ??? ????? ??,Movie,Thriller,2020,150,NA,NA,4,18,7.2,Available,Yes,Hindi," 17,00,000 "
The Lincoln Lawyer (2011),Movie,Thriller,2011,118,NA,NA,0,1,7.3,Not Available,No,English," 14,00,000 "
The Body // ? ????,Movie,Thriller,2019,101,NA,NA,0,0,5.4,Not Available,No,Hindi," 13,00,000 "
Sliver,Movie,Thriller,1993,107,NA,NA,4,9,5.1,Not Available,No,English," 7,00,000 "
House at the End of the Street,Movie,Thriller,2012,101,NA,NA,1,3,5.5,Not Available,No,English," 4,00,000 "
Forensic,Movie,Thriller,2020,132,NA,NA,0,2,6.8,Not Available,No,Malayalam," 4,00,000 "
The Invisible Guest // Contratiempo,Movie,Thriller,2016,106,NA,NA,2,3,8,Not Available,No,Spanish," 3,00,000 "
U Turn (2016),Movie,Thriller,2016,121,NA,NA,3,7,7.4,Available,No,Kannada," 2,00,000 "
Visaranai,Movie,Thriller,2016,118,NA,NA,11,7,8.4,Available,No,Tamil," 2,00,000 "
Basic Instinct,Movie,Thriller,1992,128,NA,NA,6,23,7,Not Available,No,English," 1,00,000 "
Nayattu,Movie,Thriller,2021,122,NA,NA,2,6,8.1,Not Available,No,Malayalam," 1,00,000 "
